id_inmueble,tipo,titulo,calle,barrio,zona,ciudad,localizacion,precio,precio_metro,caracteristicas,habitaciones,m_construidos,m_utiles,baños,referencia,anunciante,nombre,ultima_atualizacion,tlf,url,fecha,ultima_actualizacion,URL
106298192,Venta,Piso en venta en calle Gloria s/n,Calle Gloria s/n,Barrio El Palmar,Este,Murcia,"Calle Gloria s/n, Barrio El Palmar, Distrito Pedanías Oeste, Murcia, Área de Murcia, Murcia","$65,000.00",596 €/m²,"['109 m² construidos', '3 habitaciones', '1 baño', 'Segunda mano/buen estado', 'Construido en 1980', 'Planta 3ª', 'Con ascensor']",3 habitaciones,,,1 baño,14467-2025,Profesional,VIVANTIAL,,,,2024-10-18 16:00:29,Anuncio actualizado el 18 de octubre,https://www.idealista.com/inmueble/106298192/
106220409,Venta,"Piso en venta en avenida Marqués de Espinardo, 6","Avenida Marqués de Espinardo, 6",Barrio Espinardo,Norte,Murcia,"Avenida Marqués de Espinardo, 6, Barrio Espinardo, Distrito Pedanías Norte, Murcia, Área de Murcia, Murcia","$95,000.00",2.568 €/m²,"['37 m² construidos, 31 m² útiles', '1 habitación', '1 baño', 'Balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Trastero', 'Orientación oeste', 'Construido en 2008', 'Calefacción individual', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Bajo exterior', 'Sin ascensor']",1 habitación,,,1 baño,105806105,Profesional,Gextion Viviendas,,,,2024-10-18 16:00:29,Anuncio actualizado el 15 de octubre,https://www.idealista.com/inmueble/106220409/
106228979,Venta,Casa o chalet en venta en Aljucer,,Barrio Aljucer,Este,Murcia,"Barrio Aljucer, Distrito Pedanías Oeste, Murcia, Área de Murcia, Murcia","$380,000.00",1.108 €/m²,"['Casa o chalet', '343 m² construidos, 256 m² útiles', '5 habitaciones', '3 baños', 'Parcela de 736 m²', 'Segunda mano/buen estado']","343 m² construidos, 256 m² útiles",,,5 habitaciones,N-987,Profesional,Netek,,,,2024-10-18 16:00:29,Anuncio actualizado el 15 de octubre,https://www.idealista.com/inmueble/106228979/
106284106,Venta,Piso en venta en calle Periodista Antonio Herrero,Calle Periodista Antonio Herrero,Barrio Vista Alegre,Norte,Murcia,"Calle Periodista Antonio Herrero, Barrio Vista Alegre, Distrito Norte, Murcia, Área de Murcia, Murcia","$430,000.00",3.162 €/m²,"['136 m² construidos', '3 habitaciones', '2 baños', 'Balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Trastero', 'Construido en 2005', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'exterior', 'Con ascensor']",3 habitaciones,,,2 baños,28671,Profesional,BUVE.APP,,,,2024-10-18 16:00:29,Anuncio actualizado el 17 de octubre,https://www.idealista.com/inmueble/106284106/
106298810,Venta,Piso en venta en calle Goya s/n,Calle Goya s/n,Barrio El Carmen,Sur,Murcia,"Calle Goya s/n, Urb. EL PUNTAL, Barrio El Carmen, Distrito Sur, Murcia, Área de Murcia, Murcia","$278,000.00",2.397 €/m²,"['116 m² construidos, 91 m² útiles', '3 habitaciones', '2 baños', 'Balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur', 'Calefacción central', 'Planta 1ª exterior', 'Con ascensor']",3 habitaciones,,,2 baños,RF0019,Profesional,INVERSUS CORPORATE FINANCE S.L,,,,2024-10-18 16:00:29,Anuncio actualizado el 18 de octubre,https://www.idealista.com/inmueble/106298810/
106278767,Venta,Piso en venta en avenida Levante,Avenida Levante,Barrio Espinardo,Norte,Murcia,"Avenida Levante, Barrio Espinardo, Distrito Pedanías Norte, Murcia, Área de Murcia, Murcia","$160,000.00",1.322 €/m²,"['121 m² construidos, 115 m² útiles', '4 habitaciones', '3 baños', 'Terraza y balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación norte, este', 'Construido en 1990', 'Calefacción individual: Gas natural', 'Planta 2ª exterior', 'Sin ascensor']",4 habitaciones,,,3 baños,Duplex Espinardo,Profesional,VivenMurcia Inmobiliaria,,,,2024-10-18 16:00:29,Anuncio actualizado el 16 de octubre,https://www.idealista.com/inmueble/106278767/
106282585,Venta,Piso en venta en calle Victorio,Calle Victorio,Barrio Santa Eulalia,Centro,Murcia,"Calle Victorio, Barrio Santa Eulalia, Distrito Centro, Murcia, Área de Murcia, Murcia","$219,000.00",1.921 €/m²,"['Alquilada, con inquilinos', '114 m² construidos, 102 m² útiles', '4 habitaciones', '2 baños', 'Balcón', 'Segunda mano/para reformar', 'Planta 4ª exterior', 'Con ascensor']","114 m² construidos, 102 m² útiles",,,4 habitaciones,1004,Profesional,ALBEMUR SL,,,,2024-10-18 16:00:29,Anuncio actualizado el 17 de octubre,https://www.idealista.com/inmueble/106282585/
104300666,Venta,Piso en venta en calle Abelardo Valero,Calle Abelardo Valero,Barrio La Alberca,Este,Murcia,"Calle Abelardo Valero, Barrio La Alberca, Distrito Pedanías Este, Murcia, Área de Murcia, Murcia","$95,000.00",1.118 €/m²,"['85 m² construidos, 76 m² útiles', '2 habitaciones', '1 baño', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur', 'Construido en 2003', 'Calefacción central', 'Planta 1ª exterior', 'Con ascensor']",2 habitaciones,,,1 baño,VM-2000,Profesional,Viviendas con Estilo Gestion Inmobiliaria,,,,2024-10-18 16:00:29,Anuncio actualizado el 16 de octubre,https://www.idealista.com/inmueble/104300666/
106275649,Venta,Piso en venta en Puebla de Soto,,Barrio Puebla de Soto,Este,Murcia,"Barrio Puebla de Soto, Distrito Pedanías Oeste, Murcia, Área de Murcia, Murcia","$130,000.00",977 €/m²,"['133 m² construidos', '3 habitaciones', '2 baños', 'Balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Construido en 2012', 'No dispone de calefacción', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 1ª exterior', 'Con ascensor']",3 habitaciones,,,2 baños,J2410151,Profesional,Simihogar,,,,2024-10-18 16:00:29,Anuncio actualizado el 18 de octubre,https://www.idealista.com/inmueble/106275649/
106205305,Venta,Piso en venta en San Lorenzo,,Barrio San Lorenzo,Centro,Murcia,"Barrio San Lorenzo, Distrito Centro, Murcia, Área de Murcia, Murcia","$400,000.00",2.667 €/m²,"['150 m² construidos', '3 habitaciones', '2 baños', 'Balcón', 'Plaza de garaje por 60.000 € adicionales', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Construido en 2007', 'Calefacción central: Gas', 'Acceso y vivienda adaptados para personas con movilidad reducida', 'Planta 1ª exterior', 'Con ascensor']",3 habitaciones,,,2 baños,106205305,Profesional,De La Rocha Inmobiliaria,,,,2024-10-18 16:00:29,Anuncio actualizado el 18 de octubre,https://www.idealista.com/inmueble/106205305/
106283728,Venta,Piso en venta en avenida Joven Futura s/n,Avenida Joven Futura s/n,Barrio Espinardo,Norte,Murcia,"Avenida Joven Futura s/n, Urb. joven futura, Barrio Espinardo, Distrito Pedanías Norte, Murcia, Área de Murcia, Murcia","$175,000.00",1.944 €/m²,"['90 m² construidos, 75 m² útiles', '3 habitaciones', '2 baños', 'Balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur, oeste', 'Construido en 2008', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 8ª exterior', 'Con ascensor']",3 habitaciones,,,2 baños,838,Profesional,LIDERCASA INTERNATIONAL,,,,2024-10-18 16:00:29,Anuncio actualizado el 18 de octubre,https://www.idealista.com/inmueble/106283728/
106284406,Venta,"Casa o chalet independiente en venta en camino del Hibiscus, 1","Camino del Hibiscus, 1",Barrio Sangonera la Seca,Este,Murcia,"Camino del Hibiscus, 1, Barrio Sangonera la Seca, Distrito Pedanías Oeste, Murcia, Área de Murcia, Murcia","$75,000.00",647 €/m²,"['Casa o chalet independiente', '2 plantas', '116 m² construidos', '3 habitaciones', '2 baños', 'Parcela de 1.400 m²', 'Segunda mano/para reformar', 'Orientación norte, sur, este, oeste', 'Construido en 2016']",2 plantas,,,116 m² construidos,242,Profesional,José Andrés,,,,2024-10-18 16:00:29,Anuncio actualizado el 16 de octubre,https://www.idealista.com/inmueble/106284406/
